Area Name,Year,Total
Argentia Beach,2013,15
Argentia Beach,2014,15
Argentia Beach,2015,15
Argentia Beach,2016,15
Argentia Beach,2017,15
Arrowwood,2001,201
Arrowwood,2002,202
Arrowwood,2003,206
Arrowwood,2004,208
Arrowwood,2005,218
Arrowwood,2006,227
Arrowwood,2007,222
Arrowwood,2008,218
Arrowwood,2009,209
Arrowwood,2010,199
Arrowwood,2011,193
Arrowwood,2012,194
Arrowwood,2013,194
Arrowwood,2014,195
Arrowwood,2015,199
Arrowwood,2016,199
Arrowwood,2017,200
Athabasca,2001,2477
Athabasca,2002,2512
Athabasca,2003,2555
Athabasca,2004,2568
Athabasca,2005,2598
Athabasca,2006,2670
Athabasca,2007,2783
Athabasca,2008,2877
Athabasca,2009,2955
Athabasca,2010,3012
Athabasca,2011,3079
Athabasca,2012,3069
Athabasca,2013,3081
Athabasca,2014,3053
Athabasca,2015,3037
Athabasca,2016,3020
Athabasca,2017,2998
Athabasca County,2001,7687
